"domainID","siteID","horizontalPosition","verticalPosition","date","wssPrecipTotal","precipQF"
"D01","HARV",900,0,2017-10-20,0.93,0
"D01","HARV",900,0,2017-10-21,0.34,0
"D01","HARV",900,0,2017-10-22,0.47,0
"D01","HARV",900,0,2017-10-23,0.76,0
"D01","HARV",900,0,2017-10-24,12.35,0
"D01","HARV",900,0,2017-10-25,84.03,0
"D01","HARV",900,0,2017-10-26,31.5,1
"D01","HARV",900,0,2017-10-27,1.28,1
"D01","HARV",900,0,2017-10-28,1.61,1
"D01","HARV",900,0,2017-10-29,14.76,0
"D01","HARV",900,0,2017-10-30,42.31,0
"D01","HARV",900,0,2017-10-31,1.83,1
"D01","HARV",900,0,2017-11-01,0.78,0
"D01","HARV",900,0,2017-11-02,0.98,0
"D01","HARV",900,0,2017-11-03,0.98,0
"D01","HARV",900,0,2017-11-04,1.36,1
"D01","HARV",900,0,2017-11-06,2.35,0
"D01","HARV",900,0,2017-11-07,1.81,1
"D01","HARV",900,0,2017-11-08,1.93,1
"D01","HARV",900,0,2017-11-09,1.87,1
"D01","HARV",900,0,2017-11-10,2.08,1
"D01","HARV",900,0,2017-11-11,2.21,1
"D01","HARV",900,0,2017-11-12,1.85,0
"D01","HARV",900,0,2017-11-13,1.12,0
"D01","HARV",900,0,2017-11-14,1.4,0
"D01","HARV",900,0,2017-11-15,1.56,1
"D01","HARV",900,0,2017-11-16,7.7,0
"D01","HARV",900,0,2017-11-17,2.39,1
"D01","HARV",900,0,2017-11-18,1.29,0
"D01","HARV",900,0,2017-11-19,8.05,0
"D01","HARV",900,0,2017-11-20,1.88,1
"D01","HARV",900,0,2017-11-21,1.39,1
"D01","HARV",900,0,2017-11-22,5.1,0
"D01","HARV",900,0,2017-11-23,0.91,1
"D01","HARV",900,0,2017-11-24,1.59,1
"D01","HARV",900,0,2017-11-25,2.17,1
"D01","HARV",900,0,2017-11-26,2.06,1
"D01","HARV",900,0,2017-11-27,1.19,1
"D01","HARV",900,0,2017-11-29,1.46,1
"D01","HARV",900,0,2017-12-01,3.95,0
"D01","HARV",900,0,2017-12-02,1.46,1
"D01","HARV",900,0,2017-12-03,2,0
"D01","HARV",900,0,2017-12-04,1.25,1
"D01","HARV",900,0,2017-12-05,2.38,0
"D01","HARV",900,0,2017-12-06,12.5,0
"D01","HARV",900,0,2017-12-07,1.51,1
"D01","HARV",900,0,2017-12-08,1.86,1
"D01","HARV",900,0,2017-12-09,3.25,1
"D01","HARV",900,0,2017-12-10,1.04,1
"D01","HARV",900,0,2017-12-11,1.13,1
"D01","HARV",900,0,2017-12-12,4.66,0
"D01","HARV",900,0,2017-12-13,2.26,1
"D01","HARV",900,0,2017-12-14,1.35,1
"D01","HARV",900,0,2017-12-15,1.85,0
"D01","HARV",900,0,2017-12-16,2.1,1
"D01","HARV",900,0,2017-12-17,1.5,1
"D01","HARV",900,0,2017-12-18,2.04,0
"D01","HARV",900,0,2017-12-19,2.4,1
"D01","HARV",900,0,2017-12-20,2.64,1
"D01","HARV",900,0,2017-12-21,1.08,1
"D01","HARV",900,0,2017-12-22,2.77,0
"D01","HARV",900,0,2017-12-23,8.26,0
"D01","HARV",900,0,2017-12-24,1.74,1
"D01","HARV",900,0,2017-12-25,9.45,1
"D01","HARV",900,0,2017-12-26,1.74,1
"D01","HARV",900,0,2017-12-27,1.81,1
"D01","HARV",900,0,2017-12-28,2.55,1
"D01","HARV",900,0,2017-12-29,1.8,0
"D01","HARV",900,0,2017-12-30,1.65,0
"D01","HARV",900,0,2017-12-31,1.98,0
