"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","secPrecipBulk","secPrecipExpUncert","secPrecipRangeQF","secPrecipSciRvwQF"
"D01","HARV",0,60,"2017-02-10T01:30:00Z","2017-02-10T02:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T02:00:00Z","2017-02-10T02:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T02:30:00Z","2017-02-10T03:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T03:00:00Z","2017-02-10T03:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T03:30:00Z","2017-02-10T04:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T04:00:00Z","2017-02-10T04:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T04:30:00Z","2017-02-10T05:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T05:00:00Z","2017-02-10T05:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T05:30:00Z","2017-02-10T06:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T06:00:00Z","2017-02-10T06:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T06:30:00Z","2017-02-10T07:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T07:00:00Z","2017-02-10T07:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T07:30:00Z","2017-02-10T08:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T08:00:00Z","2017-02-10T08:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T08:30:00Z","2017-02-10T09:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T09:00:00Z","2017-02-10T09:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T09:30:00Z","2017-02-10T10:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T10:00:00Z","2017-02-10T10:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T10:30:00Z","2017-02-10T11:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T11:00:00Z","2017-02-10T11:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T11:30:00Z","2017-02-10T12:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T12:00:00Z","2017-02-10T12:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T12:30:00Z","2017-02-10T13:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T13:00:00Z","2017-02-10T13:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T13:30:00Z","2017-02-10T14:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T14:00:00Z","2017-02-10T14:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T14:30:00Z","2017-02-10T15:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T15:00:00Z","2017-02-10T15:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T15:30:00Z","2017-02-10T16:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T16:00:00Z","2017-02-10T16:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T16:30:00Z","2017-02-10T17:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T17:00:00Z","2017-02-10T17:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T17:30:00Z","2017-02-10T18:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T18:00:00Z","2017-02-10T18:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T18:30:00Z","2017-02-10T19:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T19:00:00Z","2017-02-10T19:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T19:30:00Z","2017-02-10T20:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T20:00:00Z","2017-02-10T20:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T20:30:00Z","2017-02-10T21:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T21:00:00Z","2017-02-10T21:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T21:30:00Z","2017-02-10T22:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T22:00:00Z","2017-02-10T22:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T22:30:00Z","2017-02-10T23:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T23:00:00Z","2017-02-10T23:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T23:30:00Z","2017-02-11T00:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T00:00:00Z","2017-02-11T00:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T00:30:00Z","2017-02-11T01:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T01:00:00Z","2017-02-11T01:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T01:30:00Z","2017-02-11T02:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T02:00:00Z","2017-02-11T02:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T02:30:00Z","2017-02-11T03:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T03:00:00Z","2017-02-11T03:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T03:30:00Z","2017-02-11T04:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T04:00:00Z","2017-02-11T04:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T04:30:00Z","2017-02-11T05:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T05:00:00Z","2017-02-11T05:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T05:30:00Z","2017-02-11T06:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T06:00:00Z","2017-02-11T06:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T06:30:00Z","2017-02-11T07:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T07:00:00Z","2017-02-11T07:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T07:30:00Z","2017-02-11T08:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T08:00:00Z","2017-02-11T08:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T08:30:00Z","2017-02-11T09:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T09:00:00Z","2017-02-11T09:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T09:30:00Z","2017-02-11T10:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T10:00:00Z","2017-02-11T10:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T10:30:00Z","2017-02-11T11:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T11:00:00Z","2017-02-11T11:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T11:30:00Z","2017-02-11T12:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T12:00:00Z","2017-02-11T12:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T12:30:00Z","2017-02-11T13:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T13:00:00Z","2017-02-11T13:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T13:30:00Z","2017-02-11T14:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T14:00:00Z","2017-02-11T14:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T14:30:00Z","2017-02-11T15:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T15:00:00Z","2017-02-11T15:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T15:30:00Z","2017-02-11T16:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T16:00:00Z","2017-02-11T16:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T16:30:00Z","2017-02-11T17:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T17:00:00Z","2017-02-11T17:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T17:30:00Z","2017-02-11T18:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T18:00:00Z","2017-02-11T18:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T18:30:00Z","2017-02-11T19:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T19:00:00Z","2017-02-11T19:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T19:30:00Z","2017-02-11T20:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T20:00:00Z","2017-02-11T20:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T20:30:00Z","2017-02-11T21:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T21:00:00Z","2017-02-11T21:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T21:30:00Z","2017-02-11T22:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T22:00:00Z","2017-02-11T22:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T22:30:00Z","2017-02-11T23:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T23:00:00Z","2017-02-11T23:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-11T23:30:00Z","2017-02-12T00:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T00:00:00Z","2017-02-12T00:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T00:30:00Z","2017-02-12T01:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T01:00:00Z","2017-02-12T01:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T01:30:00Z","2017-02-12T02:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T02:00:00Z","2017-02-12T02:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T02:30:00Z","2017-02-12T03:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T03:00:00Z","2017-02-12T03:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T03:30:00Z","2017-02-12T04:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T04:00:00Z","2017-02-12T04:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T04:30:00Z","2017-02-12T05:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T05:00:00Z","2017-02-12T05:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T05:30:00Z","2017-02-12T06:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T06:00:00Z","2017-02-12T06:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T06:30:00Z","2017-02-12T07:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T07:00:00Z","2017-02-12T07:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-12T07:30:00Z","2017-02-12T08:00:00Z",0,0,0,
